Titulo,Resumen,Fecha,Contenido,Link
Chiquitas 15 mayo 2018,COLUMNA: CHIQUITAS,15 de Mayo del 2018 - 07:00,"Dolor de cabeza El caso de la contratación de una condenada por terrorismo, como asistente de una congresista de su bancada, representa sin duda un dolor de cabeza más para el excura Marco Arana, líder del FA, situación que no abona a sus futuras aspiraciones políticas. De emergencia Fue en el despacho de Wilbert Rozas, donde se reunió ayer de emergencia la gente del Frente Amplio para hacer un control de daños -con la ausencia de Castro-. La preocupación porque Guerrero se perdiera el Mundial pasó para ellos a un segundo plano. ¡Que se vaya! El analista político de izquierda, Carlos Tapia, alguien al que Arana conoce muy bien, ha dicho que Foronda debe renunciar porque, o la han engañado, o ingenuamente ha permitido que una exterrorista ingrese al Congreso. Por los argumentos esgrimidos, parece que ocurrió lo segundo. ¿Habrá sanción? Lo que ocurre en el FA no es casualidad. Tucto pidió hace poco tiempo que el sanguinario Abimael Guzmán sea indultado, mientras Apaza tildó de “presos políticos” a los del MRTA. Y por más que en el Congreso exigieron sanción, Arana se negó. Tampoco lo hará con Foronda, luego de que lo viéramos -algo escondido- respaldándola con su grupo. Ética a la deriva Luis Galarreta asegura que Mulder le dijo que había quedado el jueves en que Wilbert Rozas convocaría a la Comisión de Ética, pero ayer nada de eso se produjo. Rozas no contestó ayer las llamadas del presidente del Congreso. Todo un tremendo peloteo que nunca acaba. Lo veía venir La fuji Milagros Salazar asegura que su bancada se ha allanado a todas las opciones para reactivar Ética, pero del otro bando siguen también dándole largas. Rozas es el vicepresidente del grupo con mayor edad y debió convocar a sesión. No lo hizo, porque se olía el cargamontón con el lío en que los metió su colega de bancada, María Foronda. Extraño Resulta extraño que el titular del Minedu haya designado como nuevo director ejecutivo del Pronabec a Sandro Parodi Sifuentes, pese a tener residencia -según Reniec- en Washington DC. Cosas del Orinoco. En el bolo Hay algunas agrupaciones que ya han puesto en la mira al exministro de Educación Idel Vexler, de cara a los comicios del 2021. Dicen que hubo por ahí diálogos informales con gente del partido “naranja”, “morado” e incluso el de la estrella. Todo listo En la Hacienda Mamacona ya se vienen haciendo los arreglos para el gran bailongo por el casamiento de la fujimorista Cecilia Chacón, este sábado 26. Principiantes en baile de la salsa dura, favor abstenerse.",https://diariocorreo.pe/chiquitas/chiquitas-15-mayo-2018-818948/
Postulación para Beca 18 con 2000 vacantes vence este lunes,Este año ofrece vacantes para seguir estudios superiores en universidades e institutos públicos y privados,28 de Abril del 2018 - 09:19,"Este lunes 30 de abril vence el plazo para postular a Beca 18, que en la convocatoria de este año ofrece 2,000 vacantes para seguir estudios superiores en universidades e institutos públicos y privados de todo el país. Se trata de una beca integral de educación superior que el Ministerio de Educación, a través del Programa Nacional de Becas y Crédito Educativo (Pronabec), otorga a jóvenes talentos en condición de pobreza o vulnerabilidad social. Los postulantes deberán presentar la constancia de ingreso a una institución de educación superior elegible por el Pronabec y, además, aplicar al examen nacional de Beca 18, que se realizará el 20 de mayo y que busca seleccionar a los mejores del país. Beca 18 tiene ocho modalidades de estudio y en todas el requisito esencial es poseer un alto rendimiento académico. En las modalidades Ordinaria, Albergues, VRAEM, Huallaga, Comunidades Nativas Amazónicas (CNA) y Educación Intercultural Bilingüe (EIB) aceptan postulaciones de hasta los 22 años, la modalidad Fuerzas Armadas amplía el margen hasta 30 años y la modalidad Repared -para víctimas de la violencia ocurrida entre 1980 y 2000- no tiene límite de edad. Las 2000 vacantes se distribuirán de la siguiente manera: Ordinaria, 900; Repared, 400; VRAEM, 100; Huallaga, 100; Albergues, 100; Fuerzas Armadas, 100; EIB, 100; y CNA, 200. Las becas para universidades o institutos de educación superior pedagógica son otorgadas por un período máximo de 10 diez semestres académicos consecutivos. En cambio, para institutos de educación superior tecnológica, las becas serán como máximo de seis semestres académicos consecutivos. Entre los beneficios destacan el pago del examen ordinario o carpeta de admisión, la matrícula, pensiones, una laptop, sesiones de tutoría (solo para universidades públicas), titulación, útiles de escritorio, movilidad local, transporte interprovincial al inicio y término de la beca, alimentación, así como alojamiento según corresponda. Con la información de Andina",https://diariocorreo.pe/edicion/lima/postulacion-para-beca-18-con-2000-vacantes-vence-este-lunes-815957/
Unos 43 mil pobladores han sido atendidos en acciones cívicas,Tercera campaña se cumplió en la Plaza de Pocollay con diversos servicios,21 de Abril del 2018 - 08:59," Hasta el momento 43 mil personas han sido atendidas en las acciones cívicas ""El Estado al servicio de la Población"" que realizan de forma conjunta la comunas provincial y distritales y otras entidades del Gobierno. La gerenta de Desarrollo Social del municipio provincial Lessy Catacora Pacheco precisó que las campañas se realizan los penúltimos viernes de cada vez y hasta la fecha se han efectuado en Gregorio Albarracín, Alto de la Alianza y ayer en Pocollay. Participan el Ejército, la Fuerza Aérea, Pronabec, el Poder Judicial, La Defensoría Pública, entre otros organismos gubernamentales que ponen a disposición a su personal para iniciar trámites, brindar información y recibir denuncias, evitando el costo del traslado hasta sus sedes. Catacora anunció que la siguiente actividad se desarrollará en Calana, probablemente el 18 de mayo. ",https://diariocorreo.pe/edicion/tacna/unos-43-mil-pobladores-han-sido-atendidos-en-acciones-civicas-814660/
Beca 18: Estudiantes tienen plazo para postular hasta el 30 de abril,"Pronabec cubrirá alimentación, titulación y hasta alojamiento de estudiantes de universidades públicas e institutos públicos",18 de Abril del 2018 - 19:49,"Los ingresantes a universidades e institutos públicos pueden postular a Beca 18 para obtener una serie de beneficios, como refuerzo académico, titulación y hasta alojamiento en caso migren a otra ciudad para estudiar. La convocatoria 2018 estará abierta hasta el 30 de abril. Cabe precisar que por primera vez las 2 mil vacantes en total se repartirán por la mitad entre instituciones de educación superior públicas y privadas. Gisella Aguilar, jefa de la Oficina de Gestión de Becas de Pronabec, dependencia del Minedu, dijo a Andina instó a los estudiantes de todo el país que hayan ingresado a un instituto o a una universidad, a leer las bases y postular para acceder a una vacante. Además del pago de la matrícula, laptop, útiles de escritorio, movilidad y otros, los becarios de instituciones de educación superior públicos recibirán refuerzo académico (en caso tengan bajas notas) y seguimiento socioemocional. A todo lo anterior, hay que añadir costo de examen de admisión, pensiones, movilidad local, transporte interprovincial (al inicio y término de la beca), alimentación y alojamiento. Las universidades con las que trabaja Pronabec deben ser licenciadas por Sunedu, a fin de dar garantía de calidad del servicio educativo a los estudiantes. Además, deben estar en el ranking nacional de las 20 universidades con mayor investigación académica. Asimismo, la institución financia con prioridad carreras vinculadas a las áreas de la ciencia y tecnología en el marco de un plan de competitiviad del Consejo Nacional de Ciencia, Tecnología e Innovación (Concytec). Beca 18 tiene ocho modalidades de estudio, en todas las cuales el alto rendimiento académico es un requisito esencial. Las modalidades Ordinaria, Albergues, VRAEM, Hualllaga, Comunidades Nativas Amazónicas (CNA) y Educación Intercultural Bilingüe (EIB) aceptan postulaciones de jóvenes hasta de 22 años, mientras que la modalidad Fuerzas Armadas amplía el margen hasta 30 años. En tanto, la modalidad Repared, para víctimas del proceso de violencia ocurrida entre 1980 y 2000, no tiene límite de edad. Las 2,000 vacantes se distribuirán de la siguiente manera: Beca 18 de Pregrado: 900 vacantes; Beca Repared: 400; Beca VRAEM: 100; Beca Huallaga: 100; Beca Albergue: 100; Beca Fuerzas Armadas: 100; Beca EIB: 100; y Beca CNA: 200 vacantes. ",https://diariocorreo.pe/peru/beca-18-plazo-para-postular-vence-30-abril-814270/
Jóvenes podrán estudiar en la universidad gracias a Beca 18,La UPT ha programado un examen gratuito este domingo 22 de abril,15 de Abril del 2018 - 15:23,"Jóvenes de escasos recursos pero con buenas calificaciones en secundaria tendrán la oportunidad de estudiar una carrera universitaria financiada por el Estado Peruano a través del programa Beca 18. Así lo informó ayer la coordinadora de Beca 18 de la Universidad Privada de Tacna, Nayrut Villacorta Castro, al destacar que la UPT ha sido seleccionada por tercer año como centro de estudios elegible. Las carreras que financia Beca 18 son “ingeniería agroindustrial”, “ambiental”, “civil”, “electrónica”, “industrial”, “sistemas”, “psicología”, “tecnología médica con mención en laboratorio clínico y anatomía potológica” y tecnología médica con mención en terapia física y rehabilitación”. La UPT ha programado un examen gratuito este domingo 22 de abril, pudiendo inscribirse en la avenida San Martín 361. A quienes aprueben se les dará la constancia de ingresantes que requiere el Pronabec.",https://diariocorreo.pe/edicion/tacna/jovenes-podran-estudiar-en-la-universidad-gracias-beca-18-813267/
UPT programa examen gratuito este 22 de abril para aspirantes a Beca 18,Universidad Privada y Pronabec convocan a jóvenes,06 de Abril del 2018 - 09:51, ,https://diariocorreo.pe/edicion/tacna/upt-programa-examen-gratuito-este-22-de-abril-para-aspirantes-beca-18-811984/
"Inicia inscripción para 2,000 plazas de Beca 18",Desde hoy inicia la convocatoria. Los ganadores podrán realizar estudios de pregrado en instituciones educativas superiores de todo el país,04 de Abril del 2018 - 12:24,"Desde hoy, 4 de abril están disponibles las inscripciones para postular a 2,000 vacantes de Beca 18 que ofrece el Programa Nacional de Becas y Crédito Educativo (Pronabec) del Ministerio de Educación para realizar estudios de pregrado en instituciones educativas superiores (universidades o institutos) de todo el país. Los interesados podrán elegir carreras profesionales del área de ciencia y tecnología entre más de 100 instituciones de educación superior ubicadas en todas las regiones, informó la directora ejecutiva del Pronabec, Nora Díaz Dueñas. En cuanto a la distribución de becas, Díaz Dueñas dijo que este año el 50% será para instituciones de educación superior públicas (universidades e institutos) y el otro 50% para privadas. El periodo de postulación en línea será del 4 al 30 de abril, para lo cual los postulantes deberán subir sus documentos al Sistema Integrado de Becas (SIBEC) de la página web del Pronabec (www.pronabec.gob.pe). Los postulantes deben acreditar su ingreso a una universidad o instituto elegible mediante los exámenes regulares u ordinarios de admisión. Los postulantes que cumplan todos los requisitos serán declarados aptos y podrán acceder al examen nacional, que se realizará de forma descentralizada el 20 de mayo en todas las regiones del país. Los ganadores del concurso público iniciarán sus clases en el semestre 2018-II o 2019-I. La beca cubre de forma total los costos académicos y de manutención, según corresponda. Los interesados pueden conocer las bases del concurso y los requisitos de la convocatoria en la página web www.pronabec.gob.pe Para mayor información, se atenderán todas las consultas de los postulantes mediante las redes sociales (facebook.com/PRONABEC y @Pronabec en Twitter), la central telefónica 612-8230 y la línea gratuita 0800-00018, o acercarse a la oficina regional del Pronabec ubicada en la Mz. G, Lt. 24, Urb San Eloy, Trujillo en horario de oficina de lunes a viernes.",https://diariocorreo.pe/edicion/la-libertad/inicia-inscripcion-para-2000-plazas-de-beca-18-811637/
Beca 18: Jóvenes podrán postular desde el 4 de abril a 2 mil vacantes,El Programa Nacional de Becas y Crédito Educativo (Pronabec) precisó que el 50% de las becas serán destinadas a instituciones privadas,02 de Abril del 2018 - 16:02,"Desde este miércoles 4 de abril se iniciarán las inscripciones para acceder a las 2 mil vacantes destinadas al programa del Pronabec Beca 18 en los niveles universitario e institutos públicos o privados en todo el Perú. Según precisión del Programa Nacional de Becas y Crédito Educativo, las áreas profesionales que serán cubiertas abarcan las ciencia y la tecnología en más de 100 instituciones en todo el país. Nora Díaz Dueñas, directora ejectuvida del Pronabec, precisó que “Se han tomado en cuenta las carreras profesionales de ciencia y tecnología que recomienda el Plan Nacional Estratégico del Concytec 2016-2021”. Respecto a la distribución de las becas, Díaz Dueñas especificó que el 50% irán destinadas a instituciones superiores públicas (universidades e institutos), y el otro 50% a las privadas. El periodo de postulación al programa Beca 18 irá desde el 4 de este mes (jueves) hasta el 30 del mismo (lunes). Los postulantes deberán subir sus documentos al Sistema Integrado de Becas (SIBEC) de la página web del Pronabec y acreditar su ingreso a una universidad o instituto elegible mediante los exámenes regulares u ordinarios de admisión. Los postulantes que cumplan todos los requisitos serán declarados aptos y podrán acceder al examen nacional, que se realizará de forma descentralizada el 20 de mayo en todas las regiones del país. Los ganadores del concurso público iniciarán sus clases en el semestre 2018-II o 2019-I. La beca cubre de forma total los costos académicos y de manutención, según corresponda.",https://diariocorreo.pe/peru/beca-18-postular-4-abril-2-mil-vacantes-811228/
Peruano que ocupó primer puesto en La Sorbona fue admitido en Harvard y ahora pide ayuda,Sanmarquino ganó una media beca y ahora debe reunir los 50 mil dólares que necesita para continuar con sus estudios,26 de Marzo del 2018 - 15:51,"Un nuevo logro. Marco Carrasco Villanueva, el egresado de la Universidad de San Marcos que logró el primer puesto de su promoción en la Universidad Sorbona de París, ahora ha sido admitido en la Universidad de Harvard, considerada la mejor del mundo. Tras superar una serie de evaluaciones, Carrasco accedió a una beca para estudiar la Maestría en Gestión Pública y Desarrollo Internacional, que tiene un costo de 100 mil dólares por ser una de las más demandadas en dicha casa de estudios de EE.UU. Por ello ahora busca apoyo para poder costear la otra parte de los gastos y tiene solo hasta el 20 de abril para aceptar la beca, según dijo a la Agencia Andina. “¡Me admitieron en Harvard! Esta admisión tiene un significado muy especial… Sé que han pasado varios años desde la última vez que un egresado de San Marcos, principal universidad pública peruana, ha podido llevar dicho programa y, sin duda, es mi gran deseo poder contribuir a que esto cambie poco a poco en un futuro próximo”, escribió en su cuenta de Facebook. El joven no puede acceder al financiamiento del Programa Nacional de Becas y Crédito Educativo (Pronabec) debido a que ya cursó un posgrado. “Es en este contexto que me animo a escribir esto, por si alguien conoce de alguna fundación, institución, organización, empresario, político honesto, o persona filantrópica que pueda interesarse y apoyar mis ánimos de superación y de servir a mi país"", detalla en su publicación. Las personas que deseen apoyarlo pueden contactarse con Carrasco al correo marcoc1708@outlook.com o ingresar al siguiente enlace. ",https://diariocorreo.pe/edicion/lima/peruano-primer-puesto-sorbona-harvard-810103/
Créditos educativos: Pronabec ofrecerá tasa de interés más baja de Latinoamérica,"Este crédito financia estudios superiores de pregrado y posgrado, a un plazo de pago de hasta 72 meses con un garante de por medio",30 de Enero del 2018 - 21:03,"El Programa Nacional de Becas y Crédito Educativo (Pronabec) del Ministerio de Educación anunció que ha reducido la tasa de interés anual de su Crédito Educativo Ordinario de 4,22% a 3,82%. De esta manera, la nueva tasa de interés se posicionaría como la más baja del sistema bancario nacional y el de Latinoamérica.  Al respecto, la directora ejecutiva del Pronabec, Nora Díaz Dueñas, explicó que la reducción de la tasa de interés tiene el propósito de ofrecer más oportunidades educativas para que los jóvenes cumplan el sueño de estudiar una carrera profesional en universidades o institutos del país o del extranjero. El público objetivo al que se dirigen son los alumnos de las instituciones educativas públicas y privadas de todo el país, para estudios superiores de pregrado o posgrado, así como tramitar grados y títulos. ¿En qué consiste el crédito educativo? El Crédito Educativo Ordinario ofrece un plazo de pago de hasta 72 meses (previa evaluación). Para acceder a él, el beneficiario debe cumplir con los requisitos exigidos y asumir la responsabilidad del financiamiento. Asimismo, deberá contar con un garante que asuma la responsabilidad solidaria de reembolsar el crédito otorgado hasta la cancelación total. Entre las ventajas que ofrece este producto frente a otros en el mercado, Díaz destacó que no se exigen garantías reales, se otorgan amplios plazos de pago y las solicitudes de crédito son a nivel nacional. Cuatro meses atrás, la institución anunció su interés en presentar un proyecto de ley que les permita endeudarse a tasas más bajas, obteniendo créditos de organismos multilaterales, a una tasa de interés más baja. la meta para el 2018 era llegar a los 3 mil créditos y para el 2017 tenían alrededor de 800.",https://diariocorreo.pe/economia/creditos-educativos-pronabec-ofrecera-tasa-de-interes-mas-baja-de-latinoamerica-800437/
