Titulo,Resumen,Fecha,Contenido,Link
Pronabec: las universidades donde crédito educativo puede pagarse al final de carrera,"Si el estudiante pertenece a una de las 6 instituciones que tienen un convenio con Pronabec, podrán pagar su deuda 6 meses después de haber terminado la carrera",04.05.2018 / 08:30 am,"Los créditos educativos que otorga el Programa Nacional de Becas y Crédito Educativo (Pronabec) están destinados a estudiantes del país con bajos recursos económicos y hay una posibilidad de realizar la devolución del dinero del estos créditos educativos ordinarios hasta en 6 meses después de haber terminado la carrera, y no a los 30 días de haberlo recibido, como en la mayoría de los casos. -Crédito 18- Pronabec tiene un convenio especial desde el 2015 con 6 instituciones, cuyos beneficiarios del crédito pueden realizar la devolución del monto hasta 6 meses después de haber terminado la carrera, denominado Crédito 18. ""En este tipo de crédito son las casas de estudio quienes eligen a sus candidatos y no Pronabec"", explicó Andrés Kouri, jefe de Crédito Educativo de esta última institución. Las instituciones que forman parte de este convenio son la Pontificia Universidad Católica del Perú, la Universidad Cayetano Heredia, la Universidad del Pacífico, la Universidad de Ingeniería y Tecnología (UTEC), la Universidad Privada en Piura y Tecsup, con sedes Lima y Trujillo. Por otro lado, Kouri anunció que Pronabec desea incrementar el presupuesto destinado a créditos educativos y a la vez asignar un mayor porcentaje a los estudiantes de provincias. Agregó que hasta hace poco apenas el 12% de créditos era destinado a provincias. “Es una prioridad para Pronabec incrementar el presupuesto de crédito educativo, cuyo objetivo es ayudar a miles de peruanos. Buscaremos además que los chicos de provincia tengan mayores opciones”, sostuvo. Por tal motivo, precisó que tienen como meta llegar al 2021, año del bicentenario del país, con el 50% del crédito entregado en regiones. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/conoce-puedes-financiar-credito-educativo-acuerdo-casa-estudio-noticia-516887
Acciones para combatir violencia contra la mujer: habrá 225 CEM para el 2021,"El primer ministro Villanueva dijo que 100 Centros de Emergencia Mujer (CEM) estarán funcionando al finalizar el 2018. A la fecha, hay 50 CEM en comisarías de 22 regiones del país",03.05.2018 / 08:20 am,"El presidente del Consejo de Ministros, César Villanueva, acudió este miércoles al Congreso de la República para solicitar el voto de confianza del pleno. Entre los puntos que mencionó en su discurso se encuentran las medidas que asumirá el Gobierno para reducir y atender los casos de violencia contra la mujer y niños en el país. Villanueva anunció que para el año 2021 la meta del Gobierno es contar con 225 Centros de Emergencia Mujer (CEM) funcionando en las comisarías del país. Agregó que, de este número, 100 estarán funcionando al finalizar el presente año. El Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) es la institución responsable de estos centros. A la fecha, existen 50 CEM implementados en comisarías de 22 regiones del país, los cuales han atendido un total de 10.945 casos durante los primeros tres meses del año 2018. Asimismo, hace unos días, el Gobierno aprobó destinar cerca de S/20 millones al MIMP para la creación de otros 50 centros. Villanueva también indicó que la protección de la mujer y la niñez es un tema prioritario para el actual Gobierno, y para ello la labor de la Policía Nacional, así como del Ministerio Público y el Poder Judicial, es vital para combatir este tipo de violencia. ""No podemos aceptar que este tipo de violencia siga siendo tolerada por nuestra sociedad y por nuestras entidades públicas. Necesitamos un Ministerio Público y Poder Judicial consciente de las consecuencias de sus decisiones"" dijo.  -Niños Desaparecidos- Respecto a los casos de menores desaparecidos, precisó que se hará efectiva la implementación de la ""Alerta Amber"", que tiene como fin realizar la búsqueda del menor apenas sea reportada su desaparición en la comisaría, sin necesidad de esperar 24 horas. Durante su discurso, César Villanueva también mencionó que todos los distritos judiciales del país contarán con una Unidad de Protección Especial y el 40% de los gobiernos locales provinciales tendrán una Defensoría Municipal del Niño y del Adolescente (Demuna) a fin de de dictar medidas de protección en casos de riesgo. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/acciones-combatir-violencia-mujer-habra-225-cem-2021-noticia-516974
Villanueva refrenda meta del Ejecutivo de reducir anemia infantil al 19% en el 2021,"Durante su discurso ante el Congreso, el primer ministro anunció que ""se desplegará una estrategia multisectorial"" para frenar el avance de este mal nutricional",03.05.2018 / 08:10 am,"Este miércoles el primer ministro, César Villanueva, dijo durante su presentación ante el Congreso para pedir el voto de confianza de su gabinete que ""nuestros niños con anemia, nuestros niños con desnutrición. ¿Qué carajo vamos a presentar un Perú así ante el mundo, queriendo entrar a la Organización para la Cooperación y el Desarrollo Económicos (OCDE)? Vamos a entrar a la OCDE rescatando a estos niños primero"". Villanueva reiteró que la meta del gobierno de Martín Vizcarra será reducir la anemia infantil al 19% en el 2021. Esta cifra fue propuesta inicialmente por el ex presidente Pedro Pablo Kuczynski, quien además prometió que durante el 2017 se disminuiría de 43,6% a 37,9%. Sin embargo, esto no se cumplió según datos recientes de la Encuesta Demográfica y de Salud Familiar (Endes) del Instituto Nacional de Estadística e Informática (INEI): la proporción de este mal nutricional en niños menores de 3 años se mantuvo en 43,6% en el 2017, es decir, no cambió respecto al 2016 (43,6%) y 2015 (43,5%). La anemia es una enfermedad que se presenta cuando la hemoglobina en la sangre disminuye por la deficiencia de hierro en el organismo (este elemento se encuentra en alimentos como el pescado, la sangrecita de pollo y el hígado). Afecta principalmente a gestantes y niños menores de 2 años, comprometiendo a largo plazo su desarrollo y habilidad para el aprendizaje. -Acciones del Estado-

Durante su discurso ante el Congreso, Villanueva anticipó que los esfuerzos del Gobierno se enfocarán en promover el consumo de hierro en la alimentación; sobre todo en los primeros meses de edad, a los que calificó como ""la edad crítica para intervenir y conseguir resultados frente a la anemia"". Para lograrlo, dijo, se desplegará ""una estrategia multisectorial que incluye la movilización de promotores y agentes comunitarios de los programas sociales para la lucha contra la anemia y la desnutrición"". ""El objetivo es que las familias tomen conciencia de los problemas que genera la falta de hierro y empoderarlos en su solución"", agregó. El primer ministro también anunció que, antes del 28 de julio de este año, ""cualquier padre o madre de familia podrá acercarse al establecimiento de salud de su centro poblado para recibir el medicamento necesario para prevenir la anemia, sin costo alguno"". Esto, con el objetivo de que ningún niño de 4 y 5 meses de edad se quede sin suplementación nutricional preventiva. Asimismo, Villanueva prometió que, durante los primeros 180 días de gestión de su gabinete ministerial, se elevará del 12% al 80% el porcentaje de niños de 4 meses que reciben sulfato ferroso (mediante la distribución de multimicronutrientes conocidos como ""chispitas"") en los centros de salud del país. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/villanueva-refrenda-meta-ejecutivo-reducir-anemia-19-2021-noticia-516980
"Villanueva sobre la educación en el Perú: ""Tenemos que recuperar tiempo perdido""","El primer ministro, César Villanueva, expuso en el Congreso los compromisos y metas del Ejecutivo para el sector Educación",03.05.2018 / 08:00 am,"Durante su presentación ante el pleno del Congreso de la República, el presidente del Consejo de Ministros, César Villanueva, se refirió a las metas y compromisos que asumirán desde el Ejecutivo para impulsar el sector Educación en el país. Al respecto, dijo que el gobierno del presidente de la República, Martín Vizcarra, está comprometido con la reforma de la educación. ""Tenemos que recuperar el tiempo perdido y poner el pie en el acelerador"", declaró el premier Villanueva, para lo cual se han comprometido en los próximos tres años garantizar que los niños y jóvenes ""reciban una educación de calidad en concordancia con los nuevos tiempos. Villanueva hizo hincapié en que la educación es uno de los pilares fundamentales del gobierno, y que al igual que él como el presidente Vizcarra plantearon la prioridad educativa en las regiones San Martín y Moquegua, donde ejercieron como gobernadores regionales, 
""así lo haremos también en todo el Perú"". -Metas educativas del gabinete Villanueva-

De acuerdo con lo expuesto por el primer ministro Villanueva, la meta del gabinete es ""alcanzar niveles satisfactorios de comprensión lectora, pasando de 46% a más de 55%; y en matemáticas pasando de 34% a 45% en el año 2021"". Agregó que con la implementación de las Redes Educativas Rurales se reducirán las brechas de aprendizaje en el campo y mejorarán los niveles de comprensión lectora y de matemáticas en secundaria. ""Con ello, al 2021 más del 15% de estudiantes del segundo de secundaria y 25% del cuarto de secundaria del ámbito rural obtendrán el nivel satisfactorio en comprensión lectora"", planteó como uno de los compromisos en materia educativa en las localidades rural. Respecto a la conectividad a través de internet y el acceso a las Tecnologías de Información y Comunicación (TICs), plantearon que por lo menos el 35% de instituciones educativas públicas (primaria y secundaria) contarán para el 2021 con acceso a internet. Actualmente, solo el 14% está conectada.  ""Para ello, invertiremos S/65 millones en 22 regiones y 400 instituciones educativas"", precisó el primer ministro Villanueva. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/villanueva-educacion-peru-recuperar-perdido-noticia-516971
"Sismo de 4,3 grados se registró esta tarde en Áncash",El movimiento sísmico se registró a 87 kilómetros al oeste de Chimbote y alcanzó una profundidad de 44 kilómetros,02.05.2018 / 02:53 pm,"Esta tarde se registró un sismo en la zona norte del país, en la región de Áncash, según reportó el Instituto Geofísico del Perú (IGP). El movimiento sísmico alcanzó una magnitud de 4,3 grados en la escala de Richter. La institución detalló que el movimiento telúrico ocurrió a la 1:44 p.m. a 87 kilómetros al oeste de Chimbote. Asimismo, el sismo alcanzó una profundidad de 44 kilómetros.  Por su parte, el Instituto Nacional de Defensa Civil (Indeci) informó mediante un comunicado que hasta el momento no se han reportado daños físicos o materiales por este evento en Áncash. En tanto, el IGP precisó que el sismo alcanzó una intensidad de II en la escala de Mercalli, lo que significa que fue perceptible sobre todo por quienes se encontraban en edificios. Finalmente, la Dirección de Hidrografía y Navegación de la Marina de Guerra del Perú descartó la ocurrencia de un tsunami en el litoral peruano producto de este sismo. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/ancash/sismo-4-3-grados-registro-tarde-ancash-noticia-517032
Beca 18: ¿Cuántas becas serán destinadas a estudiantes de comunidades nativas?,El lunes 30 de abril vence el plazo para postular a este programa del Estado dirigido a jóvenes con alto rendimiento académico y que viven en condiciones de vulnerabilidad o pobreza,26.04.2018 / 11:43 am,"El próximo lunes 30 de abril vence el plazo para postular al programa Beca 18, que financia el acceso a la educación superior de jóvenes con alto rendimiento académico y que viven en condiciones de vulnerabilidad o pobreza. Una de las modalidades por la cual los estudiantes podrán acceder es la de Comunidades Nativas Amazónicas (CNA). Para este grupo, se han destinado 200 becas de un total de 2.000 cupos que se ofrecen en todo el país. Asimismo, otras 100 becas se destinarán a jóvenes que postulen bajo la modalidad de Educación Intercultural Bilingüe (EIB). Por su parte, el Ministerio de Cultura (Mincul) recordó a los interesados que las postulaciones están abiertas hasta fin de este mes. Precisaron que la convocatoria incluye universidades e institutos superiores, tanto públicos como privados, de todas las regiones del país. Para mayor información sobre los requisitos, así como la lista de carreras e instituciones educativas elegibles, puedes ingresar a la página web del Programa Nacional de Becas y Crédito Educativo (Pronabec):  www.pronabec.gob.pe/2018_Beca18.php. Según la citada institución, entre los años 2014 y 2017 se han otorgado un total de 2205 becas a estudiantes que postularon en la modalidad de CNA en el programa Beca 18. Además, entre el 2013 y 2017, otros 1.588 jóvenes se han beneficiado con las subvenciones para la becas de EIB. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/beca-18-becas-seran-estudiantes-comunidades-nativas-noticia-515163
Machu Picchu: rehabilitan acceso a monumento arqueológico de Willkaraqay,"Tramo del Camino Inca estuvo cerrado once días por problemas estructurales, informó la DDC Cusco",25.04.2018 / 08:30 am,"La Dirección Desconcentrada de Cultura (DDC) de Cusco informó a través de un comunicado de prensa que los trabajos de rehabilitación de la vía de acceso al monumento arqueológico de Willkaraqay, ubicado en la Red de Caminos Inca de Machu Picchu, concluyeron. Este camino presentó problemas estructurales que provocaron la inestabilidad de la calzada en una longitud de 15 metros lineales, situación que obligó al cierre de este tramo por el lapso de 11 días. Según el arqueólogo Francisco Huarcaya, responsable del mantenimiento de la Red de Caminos Inca, para resolver esta situación se ejecutaron trabajos de recomposición y restitución de la plataforma del camino desde sus cimientos, logrando recuperar todo el tramo afectado. Durante la ejecución de los trabajos se desmontó el muro de contención que data de la época inca y se realizó el tratamiento correspondiente. La DDC Cusco informó que los visitantes que recorren el Camino Inca no se perjudicaron por la realización del trabajo de mantenimiento ya que utilizaron otras vías alternas bajo la orientación de los vigilantes del parque arqueológico de Machu Picchu. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/machu-picchu-rehabilitan-acceso-monumento-arqueologico-willkaraqay-noticia-514707
Pronabec ofrece estos tres tipos de crédito educativo: conoce cómo acceder a ellos,Créditos educativos de Pronabec son destinados a peruanos con destacado rendimiento académico y bajos recursos económicos,25.04.2018 / 05:50 am,"En lo que va del año, el Programa Nacional de Becas y Crédito Educativo (Pronabec) ha desembolsado el 80% del presupuesto (S/6 millones 765 mil) asignado por el Gobierno para peruanos con destacado rendimiento académico y bajos recursos económicos. Benjamin Godofredo, jefe de Seguimiento y Recuperación de la citada institución, precisó que los principales requisitos para acceder a un crédito educativo son dos: ►Haber ingresado a un instituto superior o universidad, o haber sido aceptado en un posgrado. Se puede solicitar el crédito incluso si se encuentra a mitad o casi al final de la carrera. ► El garante y el responsable de pago no deben registrar deudas en Infocorp. Asimismo, deben tener hasta 70 años de edad y pueden ser familiares o amigos. ""Lo principal es que la persona responsable de pago y el garante tengan historial crediticio muy bueno y que estén calificados como normales en Infocorp"", remarcó el funcionario de Pronabec. -Tipos de Créditos- Teniendo en cuenta que este año el valor de una Unidad Impositiva Tributaria (UIT) es de S/4.150, los tipos de créditos educativos que ofrece Pronabec son: destinados a materiales de estudios (hasta 2 UIT), para maestrías y doctorados (hasta 25 UIT), para pregrado (hasta 8 UIT). Andrés Kouri, jefe de Crédito Educativo de Pronabec, explicó que la tasa de interés de este crédito es de 3.82% (anual y en soles), la más baja del sistema financiero de América Latina. En otras entidades crediticias del país la tasa de interés para un préstamo de estudios va del 8% al 20%. ""El crédito educativo de Pronabec ha ido en ascenso meteórico y es que el Estado apuesta por ese nicho de peruanos que no son objetivo
del sistema financiero. Nuestra institución quiere que los peruanos puedan acceder a la educación superior de calidad"", puntualizó. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/son-requisitos-acceder-credito-educativo-pronabec-noticia-514657
Beca 18: ¿hasta cuándo son las inscripciones y qué se debe presentar?,"Postulantes podrían cursar estudios superiores en más de 100 instituciones del país, entre públicas y privadas",18.04.2018 / 08:30 am,"El Programa Nacional de Becas y Crédito Educativo (Pronabec) anunció que el próximo lunes 30 de abril vence el plazo para postular al programa Beca 18, y así acceder a una de las 2 mil vacantes que se ofrecen, destinadas a cursar estudios en universidades o institutos, públicos o privados de todo el país.  “Se han tomado en cuenta las carreras profesionales de ciencia y tecnología que recomienda el Plan Nacional Estratégico del Concytec 2016-2021”, explicó Nora Díaz Dueñas, directora ejecutiva del Pronabec, entidad adscrita al Ministerio de Educación. Los interesados deberán presentar su constancia de ingreso a una institución de educación superior elegible por Pronabec. Asimismo, el 16 de mayo se emitirá la lista de los postulantes aptos y no aptos, en tanto, el 20 de mayo será el examen nacional y el 1 de junio se publicarán los resultados. Díaz Dueñas agregó que este año el 50% de las becas será para instituciones de educación superior públicas (universidades e institutos), mientras que el otro 50% para privadas. Los interesados pueden conocer las bases del concurso y los requisitos de la convocatoria en este enlace. Para mayor información se atenderán consultas vía las redes sociales (facebook.com/Pronabec y @Pronabec en Twitter), la central telefónica 612-8230 y la línea gratuita 0800-00018, en horario de oficina de lunes a viernes. Los ganadores del concurso público iniciarán sus clases en el semestre 2018-II o 2019-I. La beca cubre de forma total los costos académicos y de manutención, según corresponda. Beca 18 es una beca de inclusión social para jóvenes con talento académico y en condición de pobreza o vulnerabilidad social. Para la presente convocatoria, los postulantes podrán acceder mediante las siguientes modalidades: Ordinaria, Huallaga, VRAEM, Reparaciones en Educación (Repared), Fuerzas Armadas, Comunidades Nativas Amazónicas (CNA) y Albergues. Vale precisar que el estudiante acreedor de una beca tendrán como beneficios: el pago del examen o carpeta de admisión ordinaria, la matrícula, pensiones, una laptop, sesiones de tutoría (solo para universidades públicas), titulación, útiles de escritorio, movilidad local, transporte interprovincial al inicio y término de la beca, alimentación, así como alojamiento, según corresponda. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/beca-18-abren-inscripciones-estudiar-universidades-institutos-noticia-508995
Idel Vexler: “Se debe asegurar la continuidad en el sector Educación”,Vexler dice que tuvo avances en la relación con el magisterio y en el fortalecimiento del Minedu. Deja pendiente la elección del titular de la Sunedu,29.03.2018 / 07:58 am,"“Me hubiera gustado seguir”, dice Idel Vexler, quien dejará en los próximos días el cargo de titular del Ministerio de Educación (Minedu), luego de que el presidente Martín Vizcarra anunciara una renovación total del Gabinete Ministerial. El funcionario explicó a El Comercio cuáles cree que fueron los avances en el sector durante su gestión, así como las tareas pendientes. — El lunes, el presidente Vizcarra visitó el colegio Melitón Carvajal, en Lince, y criticó la falta de libros escolares e implementos deportivos. ¿Qué falló?

Habitualmente, los materiales educativos llegaban a los colegios entre mayo y julio. Con mi gestión, por primera vez se distribuyeron entre diciembre y marzo, es decir, antes del inicio del año escolar. Se entregaron 20 millones de cuadernos de trabajo. No obstante, el cálculo para esta distribución se hace en base a las matrículas del año anterior, por lo que puede sobrar o faltar stock en algunos colegios [donde esto varía]. — ¿Cómo resolverá esto?

A cada Unidad de Gestión Educativa Local (UGEL) se le da un 15% de cuadernos adicionales para que se reponga inmediatamente si falta. Hemos indicado a la UGEL correspondiente que revise por qué no se resolvió esta situación [en el Melitón Carvajal]. Hacia la próxima semana, se regularizará. — ¿Cuál es su balance del inicio del año escolar 2018?

Muy bueno: casi el 98% de alumnos del país comenzaron las clases el 12 de marzo, gracias al compromiso de la comunidad educativa. Esto expresa la recuperación de la rectoría del Minedu. Diría que ese ha sido el mayor logro de mi gestión: una movilización educativa en la que participaron maestros, padres de familia, funcionarios, directores, todos. — ¿Ese 98% de asistencia al inicio del año escolar supera el promedio histórico?

Totalmente. He sido viceministro por nueve años y he seguido de cerca el inicio de cada año escolar. La cifra de asistencia generalmente ha estado entre un 60% y 70%. — El fantasma de la huelga docente, que paralizó el año escolar 2017, aún ronda las aulas. Sobre todo, luego de que el dirigente Pedro Castillo manifestara su intención de reanudarla.

No hay ningún motivo económico, social ni laboral que amerite un paro. En estos seis meses, hemos trabajado, no solo en las mejoras salariales, sino también en potenciar sus condiciones profesionales. Hemos acompañado siempre a los maestros. — Respecto al gremio docente, ¿qué asunto debe priorizar quien lo suceda?

Está el concurso para ascensos, porque la esencia de la meritocracia es que ascienda quien apruebe las evaluaciones necesarias. Ya se han inscrito unos 160 mil maestros y se debe cumplir la meta de generar 28 mil vacantes para este concurso. También está el concurso de cargos directivos para 10 mil directores y subdirectores. Luego, se ha programado este año la evaluación de desempeño a 17 mil profesores de inicial y durante el 2018 a los docentes de primaria y secundaria. — Si mañana se realizara una nueva prueba PISA, ¿el Perú tendría buenos resultados?

Tengo mis dudas. Lamentablemente, desde el 2000 hasta hace algunos meses, la preocupación del sector se centró en el nivel primario. La secundaria ha estado prácticamente abandonada. No hubo un avance integral [en los últimos 17 años]. — Sobre el currículo escolar, hay una medida cautelar que obliga al Minedu a suspender un texto del enfoque de género [“Si bien aquello que consideramos ‘femenino’ o ‘masculino’ se basa en una diferencia biológica sexual, estas son nociones que vamos construyendo día a día, en nuestras interacciones”]. ¿Cumplió el sector con esta decisión?

Sí. Primero, mostramos nuestra preocupación por esta interferencia del Poder Judicial en la elaboración de los contenidos del currículo, que es competencia del Minedu. Luego, suspendimos el texto en cuestión. — ¿Cómo se suspendió?

Se notificó a los maestros para que no toquen ese párrafo. — Usted anunció cambios en el currículo. Dijo que los tendría listos a fines de marzo. ¿Cómo van?

Están prácticamente listos. La próxima semana debíamos ponerlos en consulta pública, pero con los cambios en el Ejecutivo no podremos hacerlo. Sería lamentable que mi sucesor o sucesora no los tome en cuenta. — En junio del 2017, el Minedu anunció que el currículo había llegado al 33% de alumnos del país. ¿Cuál es el porcentaje actual?

En estos meses, se ha consolidado ese 33% en las escuelas de primaria. También se hicieron planes piloto en escuelas interculturales bilingües y rurales. Diría que la cifra subió a 38%. — Sobre la Superintendencia Nacional de Educación Superior Universitaria (Sunedu), ¿fue un error nombrar como titular a Flor Luna Victoria, quien solo duró dos semanas tras las acusaciones de plagio?

No. Creo que designar al titular de la Sunedu ha sido, por varias razones, una de las tareas más difíciles de mi gestión. Con la experiencia adquirida, mi sucesor o sucesora deberá chequear todos los artículos [académicos] de sus candidatos. — Es decir, ¿usted no designará al titular de la Sunedu?

De ninguna manera. — Se han voceado a sus posibles sucesores, entre los cuales están Hugo Ñopo, Modesto Montoya y su actual viceministro Guillermo Molinari. ¿Qué opina?

Lo único que puedo decir es que debe asegurar la continuidad en el sector. Lamento mucho que, en menos de un año y medio, tengamos a cuatro ministros de Educación distintos. — ¿Lo sorprendió la renuncia de Pedro Pablo Kuczynski a la presidencia?

No. Renunció de forma oportuna y respeto su decisión. — ¿Qué le pareció el anuncio del presidente Martín Vizcarra sobre la renovación total del Gabinete Ministerial?

Lo respeto, pero creo que considerar a todos los ministros como si fuéramos un grupo que no merece ser evaluado individualmente por su trabajo me ha generado un poco de desazón. Síguenos en Twitter como @PeruECpe",https://elcomercio.pe/peru/idel-vexler-debe-asegurar-continuidad-sector-educacion-noticia-508130
